IDIMOVEL;01/08/2019;01/09/2019;01/10/2019;01/11/2019;01/12/2019;01/01/2020
16332975;0;0;0;0;4950;13750
16333299;1980;2071;3243;2986;1913;4633
16333503;0;0;0;0;0;0
16333649;0;0;0;0;0;0
16844742;14721;3465;0;27706;19628;0
16845062;4320;0;0;0;540;10800
16849257;0;0;0;0;0;0
16851036;0;0;0;0;0;0
16851286;0;1180;5700;1100;8260;18290
16851781;0;0;0;0;2245;11976
16854150;0;0;0;960;5140;9860
16854622;0;0;0;0;360;1432
16857766;3500;700;0;2800;4900;7700
16868122;12737;3295;0;25040;30233;28781
16868532;31363;38956;71910;61737;81729;51950
16868948;11577;4911;28740;23718;46504;8194
16869891;6500;1500;0;1500;10260;21230
16870516;0;0;0;0;5600;4150
16884496;0;0;0;0;1830;4710
16888454;0;0;0;0;3300;14850
16890924;5200;5460;5720;7540;3640;0
16891765;0;0;0;540;0;0
16892087;300;0;300;6600;4500;0
16893406;5320;1520;0;1000;5060;11200
16894710;990;282;0;300;0;0
16895362;0;0;0;0;126;0
16895987;504;378;0;0;1890;0
16896889;840;122;1525;915;2120;1804
16897092;0;0;0;0;0;0
16897463;0;0;525;765;1573;3254
16907391;7500;8750;38750;37500;27200;5670
16908103;1860;2240;2772;3550;8470;11700
16909249;0;0;0;0;2245;4258
16909414;9500;8500;15000;7000;7000;3500
16911163;0;0;0;0;3000;13000
16911674;0;0;0;0;0;1200
16912709;3000;3000;18600;10670;24600;16200
16913098;0;0;0;0;25000;21200
16916137;4730;0;0;0;0;0
16919458;0;0;0;0;1550;2759
16920145;10400;12800;11200;0;9600;0
16920344;0;0;0;0;1510;1950
16929097;360;1080;1000;1065;3515;5125
16929467;0;0;0;0;0;6550
21834270;0;0;0;620;2400;6220
21834347;0;1200;2100;2700;5700;9540
21835169;0;0;5580;5040;3955;6540
21835863;0;0;0;0;2100;350
21836079;5500;1500;0;0;14600;40500
21836409;0;0;0;200;2310;2880
21837085;0;0;0;0;1998;8962
21837110;16800;4800;0;15400;5500;0
21838229;0;350;0;0;3450;11550
21838238;845;1221;950;2594;1621;6482
21838936;2198;0;0;8190;37393;29400
21843070;12600;11200;21000;20300;21000;0
21843363;0;0;0;0;8800;6700
21843554;0;0;0;0;0;13000
21843711;0;0;0;0;4830;3900
21845254;6400;5200;30000;28600;33000;33800
