IDIMOVEL;01/08/2019;01/09/2019;01/10/2019;01/11/2019;01/12/2019;01/01/2020
5351543;7;5;31;27;22;27
5383167;2;18;18;27;31;31
5385725;0;0;0;0;1;0
5419604;13;4;24;2;8;20
5421282;1;2;31;20;31;8
5427430;0;0;0;0;12;27
5432865;16;5;0;3;22;31
5441332;0;0;0;0;5;2
5446162;0;2;9;0;9;0
5446646;1;7;6;29;27;31
5457927;13;3;0;13;20;31
5468047;0;0;0;6;9;0
5475732;1;0;0;1;15;8
5484025;16;23;31;6;19;0
10229747;0;0;3;4;15;31
10230039;29;20;20;27;29;31
10232061;6;14;0;0;6;23
10232552;0;0;0;0;6;3
10242360;2;13;29;21;25;6
10242695;9;7;1;1;26;21
10248721;0;0;0;0;11;10
10293637;0;0;0;0;11;18
10305730;0;0;0;3;15;31
10338427;0;0;0;0;1;0
10342154;0;0;0;0;3;20
10349702;0;0;0;0;27;16
10349730;1;2;31;15;6;17
10353096;0;0;0;0;1;12
10355872;9;7;0;4;14;13
10358229;0;0;0;5;15;31
10361573;0;0;0;0;7;20
10363087;0;0;0;0;0;0
10366668;0;0;0;0;0;0
10367722;0;0;0;0;0;0
10375110;26;28;31;26;15;18
16251623;13;8;0;17;15;6
16251833;0;0;0;0;0;0
16254045;17;0;0;8;21;25
16254362;19;0;30;13;18;31
16256300;2;13;30;27;15;23
16258484;0;0;0;5;5;26
16271766;0;0;0;1;24;20
16273044;1;0;0;0;0;0
16273913;0;0;0;0;1;0
16274172;0;2;7;22;14;30
16274926;0;0;0;8;0;0
16289502;15;5;0;0;17;31
16292880;0;3;0;13;10;28
16293415;0;0;0;0;14;29
16294535;0;0;0;0;0;0
16295028;14;4;0;17;8;15
16295275;16;30;31;30;31;29
16297986;0;5;4;8;14;30
16298244;0;0;0;0;0;0
16298573;0;0;0;5;19;27
16298656;1;0;0;0;0;0
16298774;0;0;0;8;12;30
16300369;0;0;0;0;9;27
16300586;1;5;13;27;31;31
16323152;0;0;0;5;17;31
16323237;0;0;0;0;0;0
16324272;13;9;0;16;23;31
16325753;12;13;0;0;11;28
16325954;1;12;31;8;9;21
16329240;0;25;0;24;18;18
16329698;0;20;1;29;25;31
16329730;0;0;0;9;21;25
16329757;0;0;0;0;4;1
16329839;13;3;0;3;14;31
16330186;0;0;0;0;6;5
16330239;13;3;1;2;15;29
16331050;0;0;0;0;0;0
16332750;18;21;31;23;29;25
16332975;0;0;0;0;9;25
16333299;20;19;29;22;9;21
16333503;0;0;0;0;0;0
16333649;0;0;0;0;0;0
16844742;12;3;0;22;16;0
16845062;8;0;0;0;1;20
16849257;0;0;0;0;0;0
16851036;0;0;0;0;0;0
16851286;0;2;10;2;14;31
16851781;0;0;0;0;5;24
16854150;0;0;0;8;16;30
16854622;0;0;0;0;4;20
16857766;10;2;0;8;10;14
16868122;12;3;0;23;17;13
16868532;13;16;30;25;19;10
16868948;12;5;30;24;28;3
16869891;13;3;0;3;15;31
16870516;0;0;0;0;11;7
16884496;0;0;0;0;9;26
16888454;0;0;0;0;2;9
16890924;20;21;22;29;14;0
16891765;0;0;0;4;0;0
16892087;1;0;1;22;15;0
16893406;14;4;0;5;16;31
16894710;14;4;0;5;0;0
16895362;0;0;0;0;1;0
16895987;4;3;0;0;15;0
16896889;10;2;25;15;27;21
16897092;0;0;0;0;0;0
16897463;0;0;7;9;19;29
16907391;6;7;31;30;16;3
16908103;26;29;31;29;28;30
16909249;0;0;0;0;5;12
16909414;19;17;30;14;9;5
16911163;0;0;0;0;3;13
16911674;0;0;0;0;0;6
16912709;5;5;31;16;13;16
16913098;0;0;0;0;11;7
16916137;2;0;0;0;0;0
